Zip Code,Overall Grade,Public Schools,Crime & Safety,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute
60608,8,6,5,3,12,7,11,4,7,6,10,10,10
60602,12,6,5,6,12,9,7,10,7,6,12,10,12
60603,12,6,5,5,12,8,9,9,7,6,12,10,12
60605,12,6,5,7,12,10,11,10,7,6,12,10,11
60607,12,6,5,6,12,10,11,9,7,6,12,10,11
60604,12,6,5,5,12,8,9,8,7,6,12,10,12
60601,12,6,5,5,12,9,10,9,7,6,12,10,12
60606,12,6,5,9,12,10,8,11,7,7,12,10,12
60610,12,6,5,4,12,9,10,8,7,5,12,10,11
60611,12,6,5,4,12,8,9,9,7,5,12,10,12
60615,11,6,5,4,12,9,11,5,7,6,11,10,11
60614,12,6,5,4,12,9,8,9,7,5,12,10,11
60619,5,5,5,3,9,6,6,2,7,7,8,10,8
60618,10,6,5,4,12,9,11,7,7,6,11,10,9
60622,12,6,5,5,12,9,10,8,7,6,12,10,10
60623,5,5,5,1,10,6,10,3,7,7,9,10,9
60624,3,5,5,1,8,4,6,1,7,6,9,10,8
60628,5,6,5,4,7,7,7,3,7,8,8,10,8
60612,7,6,5,1,10,7,11,3,7,5,11,10,10
60613,12,6,5,7,12,10,9,9,7,6,12,10,9
60617,7,6,5,5,8,7,11,4,7,8,9,10,8
60620,5,6,5,3,9,6,6,2,7,8,8,10,7
60616,9,6,5,2,12,8,12,5,7,6,11,10,11
60625,11,6,5,4,12,9,12,7,7,6,11,10,9
60626,10,6,5,4,12,8,11,5,7,7,10,10,10
60629,6,6,5,4,10,7,10,3,7,8,9,10,8
60630,9,6,5,6,11,8,11,7,7,7,9,10,8
60609,6,6,5,2,10,7,11,2,7,7,8,10,9
60632,6,5,5,4,10,6,8,4,7,8,9,10,9
60621,3,6,5,1,7,5,5,1,7,7,9,10,8
60631,9,6,5,6,11,8,9,9,7,7,11,10,8
60636,4,6,5,4,8,6,6,1,7,8,8,10,8
60637,6,6,5,1,10,7,9,1,7,6,8,10,11
60642,12,6,5,5,12,9,10,8,7,6,12,10,11
60634,8,6,5,5,11,8,11,7,7,7,10,10,7
60638,8,6,5,7,10,8,11,6,7,8,9,10,8
60641,8,5,5,4,12,8,11,6,7,7,10,10,8
60643,9,6,5,6,10,8,10,6,7,8,9,10,8
60633,7,6,5,6,8,7,11,6,7,9,8,10,9
60646,11,6,5,6,10,9,10,9,7,7,11,10,9
60647,11,6,5,4,12,9,11,7,7,6,11,10,10
60656,8,6,5,6,10,8,9,7,7,7,10,10,8
60652,8,6,5,6,8,8,11,5,7,8,8,10,7
60653,6,6,5,1,9,6,7,1,7,6,8,10,9
60660,11,6,5,4,12,8,11,6,7,7,11,10,10
60661,12,6,5,7,12,9,9,10,7,7,12,10,12
60639,5,5,5,2,11,6,9,4,7,6,9,10,8
60640,11,6,5,4,12,9,11,6,7,6,12,10,9
60644,4,6,5,1,8,5,6,1,7,6,8,10,8
60645,9,6,5,4,10,9,12,5,7,6,10,10,10
60649,4,5,5,1,8,5,6,1,7,6,9,10,8
60651,5,5,5,3,9,7,11,3,7,7,8,10,8
60657,12,6,5,6,12,9,8,10,7,6,12,10,10
60654,12,6,5,6,12,8,8,9,7,6,12,10,12
60655,10,6,5,8,9,9,8,10,7,8,9,10,8
60659,9,6,5,3,12,8,12,5,7,6,10,10,9
